  Age,Gender,  Marital status,Current primary role,Highest level of education,Stream/Decipline,  Type of institution,Living arrangement,  Do you currently earn an income?,  Approximate monthly household income,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,Target
18-24,Male,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,"₹50,001–₹1,00,000",2,3,3,4,4,4,3,3,4,3,5,4,4,4,2,4,2,2
18-24,Female,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,Rented/Shared accommodation,No,"Above ₹1,00,000",3,4,5,4,4,4,4,4,4,4,3,5,2,3,3,5,4,2
18-24,Male,Single,Employed (part-time),Secondary / Higher Secondary,Engineering / Technology,Autonomous / Deemed,With family,Yes,Prefer not to say,3,3,3,4,3,3,4,4,4,3,4,3,4,3,3,3,3,2
18-24,Male,Single,Student,Undergraduate,Engineering / Technology,Autonomous / Deemed,Alone,Yes,"Above ₹1,00,000",4,3,4,4,4,4,5,5,4,4,4,4,3,4,3,3,3,3
18-24,Male,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,Prefer not to say,2,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2
18-24,Male,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,"₹50,001–₹1,00,000",2,3,4,3,5,5,4,3,3,3,3,4,3,3,3,3,3,2
18-24,Male,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,Prefer not to say,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
18-24,Female,Single,Student,Undergraduate,Engineering / Technology,Private,With family,No,"Above ₹1,00,000",2,4,1,1,2,1,4,5,4,4,5,5,5,3,2,1,2,2
18-24,Female,Single,Student,Undergraduate,Engineering / Technology,Private,With family,No,Prefer not to say,1,3,1,3,5,5,5,5,5,4,5,5,4,5,5,5,5,3
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,Hostel / PG,No,Prefer not to say,2,4,1,2,4,3,3,5,4,3,2,4,2,3,2,4,2,2
18-24,Female,Single,Student,Undergraduate,Engineering / Technology,Private,With family,No,"Above ₹1,00,000",1,5,4,1,5,4,5,5,5,5,5,1,5,4,2,5,5,2
18-24,Female,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,With family,No,Prefer not to say,4,3,5,5,5,4,5,5,3,4,5,4,4,5,4,5,5,3
18-24,Female,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,With family,No,Prefer not to say,1,5,3,3,5,4,5,5,5,5,5,3,2,4,3,4,4,2
18-24,Female,Single,Student,Undergraduate,Engineering / Technology,Private,With family,No,"Above ₹1,00,000",1,2,2,1,2,1,2,4,4,2,4,1,2,3,1,3,1,1
18-24,Female,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,With family,No,Prefer not to say,1,5,3,3,4,4,5,5,5,5,5,3,2,4,3,4,4,2
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,With family,No,"₹50,001–₹1,00,000",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
18-24,Male,Single,Student,Secondary / Higher Secondary,Science,Government / Public,Hostel / PG,No,"₹20,000–₹50,000",4,4,4,2,4,5,5,5,5,4,4,4,3,3,3,3,3,2
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Autonomous / Deemed,With family,No,"₹20,000–₹50,000",2,3,4,2,3,4,4,5,4,3,4,4,3,3,2,4,4,1
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Autonomous / Deemed,Hostel / PG,No,Prefer not to say,4,4,4,3,4,4,5,5,5,5,2,4,5,3,4,4,5,3
18-24,Male,Prefer not to say,Student,Undergraduate,Engineering / Technology,Private,With family,No,"Above ₹1,00,000",4,1,4,1,3,2,5,5,4,3,4,4,3,4,2,2,4,2
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Autonomous / Deemed,Hostel / PG,No,"₹50,001–₹1,00,000",1,1,1,4,1,1,4,4,4,2,4,2,2,4,1,4,2,2
18-24,Male,Single,Student,Undergraduate,Engineering / Technology,Private,With family,No,"₹20,000–₹50,000",1,1,2,2,2,3,4,5,4,3,5,2,1,3,1,2,1,1
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,With family,No,Prefer not to say,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,With family,No,Prefer not to say,1,2,1,3,5,3,5,5,4,4,5,1,1,1,1,5,5,3
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,With family,No,Prefer not to say,3,4,3,3,4,4,5,4,4,4,4,4,2,4,4,4,4,2
18-24,Female,Single,Student,Undergraduate,Engineering / Technology,Private,With family,No,Prefer not to say,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
18-24,Male,Single,Student,Undergraduate,Science,Government / Public,Hostel / PG,No,Prefer not to say,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,3
45 and Above,Female,Married,Self employed,Undergraduate,Arts / Humanities,Government / Public,With family,Yes,"Above ₹1,00,000",4,4,3,3,4,3,3,3,5,4,4,4,4,4,4,5,2,2
18-24,Female,Single,Student,Secondary / Higher Secondary,Arts / Humanities,Private,With family,No,"₹50,001–₹1,00,000",4,3,4,5,5,4,5,5,5,4,4,5,2,4,2,4,1,2
18-24,Female,Single,Student,Undergraduate,Commerce / Management,Autonomous / Deemed,With family,No,"Above ₹1,00,000",3,3,4,5,5,2,2,4,5,4,4,4,2,4,2,5,2,1
25-34,Male,Single,Employed (full-time),Postgraduate,Engineering / Technology,Government / Public,Rented/Shared accommodation,Yes,"Above ₹1,00,000",4,2,4,3,4,2,2,3,4,4,4,5,4,5,3,4,2,3
18-24,Female,Single,Unemployed,Undergraduate,Arts / Humanities,Government / Public,With family,No,"₹20,000–₹50,000",4,4,3,2,2,3,4,3,4,4,5,2,2,2,4,4,2,2
18-24,Female,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,With family,No,"₹50,001–₹1,00,000",2,3,3,3,3,3,3,3,3,4,5,3,3,3,4,4,4,2
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,Hostel / PG,No,"₹20,000–₹50,000",2,2,3,2,2,2,3,4,4,2,2,3,2,3,2,2,4,2
Below 18,Male,Single,Student,Undergraduate,Engineering / Technology,Private,With family,No,Prefer not to say,3,5,3,4,2,2,3,5,5,5,5,5,5,4,4,4,4,3
18-24,Male,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,Prefer not to say,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
18-24,Male,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,Prefer not to say,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
18-24,Male,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,Prefer not to say,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
18-24,Male,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,Prefer not to say,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
18-24,Male,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,Prefer not to say,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
18-24,Male,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,Prefer not to say,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
18-24,Male,Single,Student,Secondary / Higher Secondary,Commerce / Management,Private,With family,No,"Below ₹20,000",1,2,3,2,4,3,4,5,4,2,2,2,1,1,4,4,2,3
18-24,Female,Single,Student,Undergraduate,Engineering / Technology,Private,Rented/Shared accommodation,No,"₹20,000–₹50,000",4,4,4,2,4,4,5,5,3,4,5,5,5,4,5,5,4,2
18-24,Female,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,"₹50,001–₹1,00,000",1,2,2,2,3,2,3,5,3,3,5,5,3,5,3,5,4,2
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,With family,No,Prefer not to say,1,4,2,1,4,4,5,5,2,1,4,1,1,1,1,4,3,2
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,With family,No,"Below ₹20,000",2,4,3,2,5,4,5,5,5,4,4,5,1,5,2,4,5,3
18-24,Female,Single,Student,Undergraduate,Engineering / Technology,Private,With family,Yes,"Below ₹20,000",2,2,1,3,4,3,5,5,5,4,4,5,3,4,5,5,5,2
18-24,Female,Single,Student,Undergraduate,Engineering / Technology,Autonomous / Deemed,With family,No,"Below ₹20,000",4,4,3,3,5,4,4,4,4,4,5,5,4,5,3,4,4,3
18-24,Male,Single,Student,Undergraduate,Engineering / Technology,Autonomous / Deemed,Hostel / PG,No,Prefer not to say,2,3,1,1,2,1,4,4,3,2,3,3,3,4,3,2,3,2
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,With family,No,"Above ₹1,00,000",5,5,3,3,4,5,5,5,4,4,5,5,4,3,4,4,4,3
18-24,Male,Single,Student,Undergraduate,Engineering / Technology,Private,Alone,No,"Below ₹20,000",3,5,4,2,4,3,5,5,3,3,4,5,3,4,3,3,2,2
18-24,Male,Single,Student,Secondary / Higher Secondary,Engineering / Technology,Private,With family,No,"Above ₹1,00,000",1,3,3,2,5,4,5,5,5,3,5,4,2,5,4,5,4,3
25-34,Male,Single,Employed (full-time),Undergraduate,Engineering / Technology,Government / Public,With family,Yes,"₹50,001–₹1,00,000",4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
18-24,Female,Single,Student,Secondary / Higher Secondary,Commerce / Management,Autonomous / Deemed,With family,No,"Above ₹1,00,000",1,1,1,3,2,2,2,5,3,2,2,2,3,3,3,5,1,2
18-24,Female,Single,Student,Undergraduate,Engineering / Technology,Private,With family,No,"₹20,000–₹50,000",1,4,2,1,4,3,5,5,4,4,4,3,3,5,3,4,4,2
18-24,Male,Single,Student,Undergraduate,Engineering / Technology,Private,With family,No,Prefer not to say,3,4,5,2,5,4,1,5,4,1,5,5,4,1,4,4,3,2
18-24,Male,Single,Student,Undergraduate,Commerce / Management,Government / Public,With family,No,"Below ₹20,000",3,3,3,4,4,4,3,1,3,4,2,5,3,2,4,4,4,3
18-24,Female,Single,Student,Postgraduate,Commerce / Management,Private,With family,No,"Below ₹20,000",1,5,3,3,4,2,5,4,4,3,5,4,3,5,4,3,4,2
18-24,Male,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,Prefer not to say,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
18-24,Female,Single,Student,Secondary / Higher Secondary,Arts / Humanities,Private,With family,No,Prefer not to say,3,4,3,4,5,4,4,4,5,4,4,4,3,4,3,5,4,2
